,실험 이름 :,20240723
지속기간:,2 0
'0:0:58.9,7660
'0:0:58.95,7701
'0:0:59.0,7737
'0:0:59.05,7775
'0:0:59.1,7823
'0:0:59.15,7881
'0:0:59.2,7914
'0:0:59.25,7936
'0:0:59.3,7966
'0:0:59.35,8011
'0:0:59.4,8045
'0:0:59.45,8067
'0:0:59.5,8071
'0:0:59.55,8059
'0:0:59.6,8045
'0:0:59.65,8017
'0:0:59.7,7969
'0:0:59.75,7889
'0:0:59.8,7789
'0:0:59.85,7660
'0:0:59.9,7543
'0:0:59.95,7411
'0:1:0,7294
'0:1:0.05,7183
'0:1:0.1,7080
'0:1:0.15,6975
'0:1:0.2,6893
'0:1:0.25,6809
'0:1:0.3,6736
'0:1:0.35,6671
'0:1:0.4,6616
'0:1:0.45,6557
'0:1:0.5,6512
'0:1:0.55,6472
'0:1:0.6,6437
'0:1:0.65,6396
'0:1:0.7,6358
'0:1:0.75,6322
'0:1:0.8,6291
'0:1:0.85,6257
'0:1:0.9,6230
'0:1:0.95,6212
'0:1:1.0,6196
'0:1:1.05,6180
'0:1:1.1,6167
'0:1:1.15,6151
'0:1:1.2,6142
'0:1:1.25,6140
'0:1:1.3,6141
'0:1:1.35,6147
'0:1:1.4,6156
'0:1:1.45,6171
'0:1:1.5,6201
'0:1:1.55,6249
'0:1:1.6,6294
'0:1:1.65,6357
'0:1:1.7,6426
'0:1:1.75,6495
'0:1:1.8,6558
'0:1:1.85,6618
'0:1:1.9,6663
'0:1:1.95,6717
'0:1:2.0,6767
'0:1:2.05,6822
'0:1:2.1,6878
'0:1:2.15,6938
'0:1:2.2,6986
'0:1:2.25,7040
'0:1:2.3,7098
'0:1:2.35,7156
'0:1:2.4,7208
'0:1:2.45,7273
'0:1:2.5,7336
'0:1:2.55,7402
'0:1:2.6,7461
'0:1:2.65,7517
'0:1:2.7,7564
'0:1:2.75,7611
'0:1:2.8,7646
'0:1:2.85,7684
'0:1:2.9,7714
'0:1:2.95,7734
'0:1:3.0,7750
'0:1:3.05,7764
'0:1:3.1,7770
'0:1:3.15,7777
'0:1:3.2,7785
'0:1:3.25,7780
'0:1:3.3,7761
'0:1:3.35,7729
'0:1:3.4,7687
'0:1:3.45,7633
'0:1:3.5,7569
'0:1:3.55,7486
'0:1:3.6,7399
'0:1:3.65,7304
'0:1:3.7,7220
'0:1:3.75,7148
'0:1:3.8,7098
'0:1:3.85,7029
'0:1:3.9,6964
'0:1:3.95,6905
'0:1:4.0,6857
'0:1:4.05,6807
'0:1:4.1,6758
'0:1:4.15,6707
'0:1:4.2,6665
'0:1:4.25,6621
'0:1:4.3,6582
'0:1:4.35,6542
'0:1:4.4,6503
'0:1:4.45,6461
'0:1:4.5,6426
'0:1:4.55,6382
'0:1:4.6,6343
'0:1:4.65,6315
'0:1:4.7,6295
'0:1:4.75,6274
'0:1:4.8,6255
'0:1:4.85,6234
'0:1:4.9,6220
'0:1:4.95,6213
'0:1:5.0,6210
'0:1:5.05,6213
'0:1:5.1,6219
'0:1:5.15,6229
'0:1:5.2,6245
'0:1:5.25,6271
'0:1:5.3,6294
'0:1:5.35,6319
'0:1:5.4,6351
'0:1:5.45,6382
'0:1:5.5,6406
'0:1:5.55,6426
'0:1:5.6,6438
'0:1:5.65,6456
'0:1:5.7,6476
'0:1:5.75,6497
'0:1:5.8,6521
'0:1:5.85,6547
'0:1:5.9,6574
'0:1:5.95,6609
'0:1:6.0,6651
'0:1:6.05,6703
'0:1:6.1,6743
'0:1:6.15,6796
'0:1:6.2,6858
'0:1:6.25,6922
'0:1:6.3,6975
'0:1:6.35,7027
'0:1:6.4,7071
'0:1:6.45,7123
'0:1:6.5,7172
'0:1:6.55,7223
'0:1:6.6,7269
'0:1:6.65,7323
'0:1:6.7,7374
'0:1:6.75,7429
'0:1:6.8,7482
'0:1:6.85,7538
'0:1:6.9,7587
'0:1:6.95,7644
'0:1:7.0,7694
'0:1:7.05,7733
'0:1:7.1,7757
'0:1:7.15,7775
'0:1:7.2,7792
'0:1:7.25,7802
'0:1:7.3,7802
'0:1:7.35,7792
'0:1:7.4,7769
'0:1:7.45,7734
'0:1:7.5,7693
'0:1:7.55,7638
'0:1:7.6,7580
'0:1:7.65,7515
'0:1:7.7,7449
'0:1:7.75,7381
'0:1:7.8,7329
'0:1:7.85,7256
'0:1:7.9,7178
'0:1:7.95,7102
'0:1:8.0,7026
'0:1:8.05,6943
'0:1:8.1,6879
'0:1:8.15,6814
'0:1:8.2,6757
'0:1:8.25,6708
'0:1:8.3,6659
'0:1:8.35,6598
'0:1:8.4,6553
'0:1:8.45,6514
'0:1:8.5,6480
'0:1:8.55,6439
'0:1:8.6,6397
'0:1:8.65,6354
'0:1:8.7,6322
'0:1:8.75,6294
'0:1:8.8,6270
'0:1:8.85,6246
'0:1:8.9,6224
'0:1:8.95,6204
'0:1:9.0,6188
'0:1:9.05,6167
'0:1:9.1,6152
'0:1:9.15,6145
'0:1:9.2,6141
'0:1:9.25,6139
'0:1:9.3,6138
'0:1:9.35,6137
'0:1:9.4,6139
'0:1:9.45,6145
'0:1:9.5,6154
'0:1:9.55,6170
'0:1:9.6,6188
'0:1:9.65,6211
'0:1:9.7,6239
'0:1:9.75,6272
'0:1:9.8,6303
'0:1:9.85,6348
'0:1:9.9,6393
'0:1:9.95,6440
'0:1:10.0,6483
'0:1:10.05,6523
'0:1:10.1,6557
'0:1:10.15,6598
'0:1:10.2,6642
'0:1:10.25,6692
'0:1:10.3,6738
'0:1:10.35,6785
'0:1:10.4,6830
'0:1:10.45,6883
'0:1:10.5,6930
'0:1:10.55,6982
'0:1:10.6,7040
'0:1:10.65,7103
'0:1:10.7,7157
'0:1:10.75,7220
'0:1:10.8,7276
'0:1:10.85,7336
'0:1:10.9,7386
'0:1:10.95,7437
'0:1:11.0,7486
'0:1:11.05,7535
'0:1:11.1,7574
'0:1:11.15,7619
'0:1:11.2,7657
'0:1:11.25,7690
'0:1:11.3,7719
'0:1:11.35,7741
'0:1:11.4,7750
'0:1:11.45,7752
'0:1:11.5,7728
'0:1:11.55,7681
'0:1:11.6,7629
'0:1:11.65,7557
'0:1:11.7,7485
'0:1:11.75,7402
'0:1:11.8,7317
'0:1:11.85,7219
'0:1:11.9,7125
'0:1:11.95,7020
'0:1:12.0,6938
'0:1:12.05,6868
'0:1:12.1,6813
'0:1:12.15,6758
'0:1:12.2,6706
'0:1:12.25,6652
'0:1:12.3,6607
'0:1:12.35,6562
'0:1:12.4,6527
'0:1:12.45,6496
'0:1:12.5,6473
'0:1:12.55,6451
'0:1:12.6,6420
'0:1:12.65,6380
'0:1:12.7,6351
'0:1:12.75,6320
'0:1:12.8,6294
'0:1:12.85,6269
'0:1:12.9,6245
'0:1:12.95,6223
'0:1:13.0,6209
'0:1:13.05,6200
'0:1:13.1,6198
'0:1:13.15,6198
'0:1:13.2,6198
'0:1:13.25,6205
'0:1:13.3,6206
'0:1:13.35,6205
'0:1:13.4,6216
'0:1:13.45,6226
'0:1:13.5,6238
'0:1:13.55,6254
'0:1:13.6,6266
'0:1:13.65,6282
'0:1:13.7,6290
'0:1:13.75,6286
'0:1:13.8,6278
'0:1:13.85,6272
'0:1:13.9,6273
'0:1:13.95,6283
'0:1:14.0,6291
'0:1:14.05,6292
'0:1:14.1,6297
'0:1:14.15,6311
'0:1:14.2,6341
'0:1:14.25,6397
'0:1:14.3,6450
'0:1:14.35,6509
'0:1:14.4,6571
'0:1:14.45,6641
'0:1:14.5,6704
'0:1:14.55,6774
'0:1:14.6,6837
'0:1:14.65,6904
'0:1:14.7,6955
'0:1:14.75,7001
'0:1:14.8,7048
'0:1:14.85,7105
'0:1:14.9,7159
'0:1:14.95,7208
'0:1:15.0,7247
'0:1:15.05,7293
'0:1:15.1,7337
'0:1:15.15,7384
'0:1:15.2,7425
'0:1:15.25,7467
'0:1:15.3,7503
'0:1:15.35,7538
'0:1:15.4,7574
'0:1:15.45,7618
'0:1:15.5,7652
'0:1:15.55,7680
'0:1:15.6,7695
'0:1:15.65,7701
'0:1:15.7,7695
'0:1:15.75,7678
'0:1:15.8,7657
'0:1:15.85,7623
'0:1:15.9,7575
'0:1:15.95,7509
'0:1:16.0,7430
'0:1:16.05,7326
'0:1:16.1,7215
'0:1:16.15,7098
'0:1:16.2,7009
'0:1:16.25,6921
'0:1:16.3,6845
'0:1:16.35,6780
'0:1:16.4,6730
'0:1:16.45,6675
'0:1:16.5,6630
'0:1:16.55,6592
'0:1:16.6,6553
'0:1:16.65,6503
'0:1:16.7,6468
'0:1:16.75,6445
'0:1:16.8,6429
'0:1:16.85,6416
'0:1:16.9,6402
'0:1:16.95,6385
'0:1:17.0,6367
'0:1:17.05,6349
'0:1:17.1,6336
'0:1:17.15,6321
'0:1:17.2,6308
'0:1:17.25,6296
'0:1:17.3,6280
'0:1:17.35,6271
'0:1:17.4,6271
'0:1:17.45,6273
'0:1:17.5,6274
'0:1:17.55,6270
'0:1:17.6,6266
'0:1:17.65,6268
'0:1:17.7,6270
'0:1:17.75,6278
'0:1:17.8,6291
'0:1:17.85,6309
'0:1:17.9,6329
'0:1:17.95,6356
'0:1:18.0,6375
'0:1:18.05,6400
'0:1:18.1,6431
'0:1:18.15,6463
'0:1:18.2,6495
'0:1:18.25,6522
'0:1:18.3,6546
'0:1:18.35,6588
'0:1:18.4,6635
'0:1:18.45,6684
'0:1:18.5,6728
'0:1:18.55,6775
'0:1:18.6,6817
'0:1:18.65,6862
'0:1:18.7,6908
'0:1:18.75,6953
'0:1:18.8,6997
'0:1:18.85,7054
'0:1:18.9,7105
'0:1:18.95,7163
'0:1:19.0,7214
'0:1:19.05,7264
'0:1:19.1,7305
'0:1:19.15,7348
'0:1:19.2,7390
'0:1:19.25,7437
'0:1:19.3,7475
'0:1:19.35,7509
'0:1:19.4,7538
'0:1:19.45,7575
'0:1:19.5,7607
'0:1:19.55,7638
'0:1:19.6,7668
'0:1:19.65,7703
'0:1:19.7,7734
'0:1:19.75,7761
'0:1:19.8,7771
'0:1:19.85,7772
'0:1:19.9,7764
'0:1:19.95,7743
'0:1:20.0,7708
'0:1:20.05,7648
'0:1:20.1,7575
'0:1:20.15,7481
'0:1:20.2,7383
'0:1:20.25,7276
'0:1:20.3,7178
'0:1:20.35,7081
'0:1:20.4,7003
'0:1:20.45,6932
'0:1:20.5,6868
'0:1:20.55,6795
'0:1:20.6,6737
'0:1:20.65,6685
'0:1:20.7,6637
'0:1:20.75,6585
'0:1:20.8,6541
'0:1:20.85,6492
'0:1:20.9,6445
'0:1:20.95,6398
'0:1:21.0,6355
'0:1:21.05,6311
'0:1:21.1,6286
'0:1:21.15,6267
'0:1:21.2,6252
'0:1:21.25,6237
'0:1:21.3,6221
'0:1:21.35,6209
'0:1:21.4,6205
'0:1:21.45,6203
'0:1:21.5,6206
'0:1:21.55,6209
'0:1:21.6,6209
'0:1:21.65,6212
'0:1:21.7,6223
'0:1:21.75,6236
'0:1:21.8,6242
'0:1:21.85,6251
'0:1:21.9,6268
'0:1:21.95,6287
'0:1:22.0,6310
'0:1:22.05,6341
'0:1:22.1,6374
'0:1:22.15,6419
'0:1:22.2,6460
'0:1:22.25,6508
'0:1:22.3,6556
'0:1:22.35,6606
'0:1:22.4,6645
'0:1:22.45,6678
'0:1:22.5,6710
'0:1:22.55,6745
'0:1:22.6,6771
'0:1:22.65,6810
'0:1:22.7,6854
'0:1:22.75,6901
'0:1:22.8,6943
'0:1:22.85,6987
'0:1:22.9,7028
'0:1:22.95,7076
'0:1:23.0,7115
'0:1:23.05,7155
'0:1:23.1,7191
'0:1:23.15,7226
'0:1:23.2,7259
'0:1:23.25,7301
'0:1:23.3,7339
'0:1:23.35,7377
'0:1:23.4,7412
'0:1:23.45,7456
'0:1:23.5,7493
'0:1:23.55,7533
'0:1:23.6,7565
'0:1:23.65,7593
'0:1:23.7,7619
'0:1:23.75,7642
'0:1:23.8,7665
'0:1:23.85,7689
'0:1:23.9,7707
'0:1:23.95,7720
'0:1:24.0,7734
'0:1:24.05,7753
'0:1:24.1,7764
'0:1:24.15,7771
'0:1:24.2,7761
'0:1:24.25,7733
'0:1:24.3,7714
'0:1:24.35,7696
'0:1:24.4,7665
'0:1:24.45,7619
'0:1:24.5,7570
'0:1:24.55,7498
'0:1:24.6,7406
'0:1:24.65,7294
'0:1:24.7,7199
'0:1:24.75,7119
'0:1:24.8,7056
'0:1:24.85,6985
'0:1:24.9,6925
'0:1:24.95,6866
'0:1:25.0,6816
'0:1:25.05,6767
'0:1:25.1,6720
'0:1:25.15,6670
'0:1:25.2,6627
'0:1:25.25,6584
'0:1:25.3,6545
'0:1:25.35,6505
'0:1:25.4,6467
'0:1:25.45,6428
'0:1:25.5,6399
'0:1:25.55,6364
'0:1:25.6,6332
'0:1:25.65,6309
'0:1:25.7,6290
'0:1:25.75,6270
'0:1:25.8,6254
'0:1:25.85,6234
'0:1:25.9,6217
'0:1:25.95,6201
'0:1:26.0,6186
'0:1:26.05,6173
'0:1:26.1,6164
'0:1:26.15,6158
'0:1:26.2,6154
'0:1:26.25,6157
'0:1:26.3,6158
'0:1:26.35,6152
'0:1:26.4,6152
'0:1:26.45,6161
'0:1:26.5,6171
'0:1:26.55,6186
'0:1:26.6,6196
'0:1:26.65,6207
'0:1:26.7,6226
'0:1:26.75,6254
'0:1:26.8,6286
'0:1:26.85,6323
'0:1:26.9,6357
'0:1:26.95,6394
'0:1:27.0,6427
'0:1:27.05,6470
'0:1:27.1,6507
'0:1:27.15,6538
'0:1:27.2,6576
'0:1:27.25,6622
'0:1:27.3,6661
'0:1:27.35,6700
'0:1:27.4,6730
'0:1:27.45,6764
'0:1:27.5,6801
'0:1:27.55,6840
'0:1:27.6,6876
'0:1:27.65,6915
'0:1:27.7,6952
'0:1:27.75,6993
'0:1:27.8,7041
'0:1:27.85,7099
'0:1:27.9,7142
'0:1:27.95,7186
'0:1:28.0,7233
'0:1:28.05,7280
'0:1:28.1,7324
'0:1:28.15,7377
'0:1:28.2,7421
'0:1:28.25,7464
'0:1:28.3,7496
'0:1:28.35,7525
'0:1:28.4,7557
'0:1:28.45,7592
'0:1:28.5,7617
'0:1:28.55,7641
'0:1:28.6,7662
'0:1:28.65,7676
'0:1:28.7,7686
'0:1:28.75,7702
'0:1:28.8,7717
'0:1:28.85,7721
'0:1:28.9,7701
'0:1:28.95,7667
'0:1:29.0,7630
'0:1:29.05,7570
'0:1:29.1,7506
'0:1:29.15,7426
'0:1:29.2,7345
'0:1:29.25,7256
'0:1:29.3,7182
'0:1:29.35,7097
'0:1:29.4,7022
'0:1:29.45,6958
'0:1:29.5,6904
'0:1:29.55,6852
'0:1:29.6,6804
'0:1:29.65,6748
'0:1:29.7,6702
'0:1:29.75,6656
'0:1:29.8,6614
'0:1:29.85,6575
'0:1:29.9,6539
'0:1:29.95,6499
'0:1:30.0,6469
'0:1:30.05,6436
'0:1:30.1,6403
'0:1:30.15,6377
'0:1:30.2,6356
'0:1:30.25,6335
'0:1:30.3,6317
'0:1:30.35,6292
'0:1:30.4,6268
'0:1:30.45,6248
'0:1:30.5,6230
'0:1:30.55,6212
'0:1:30.6,6197
'0:1:30.65,6181
'0:1:30.7,6167
'0:1:30.75,6156
'0:1:30.8,6145
'0:1:30.85,6130
'0:1:30.9,6125
'0:1:30.95,6130
'0:1:31.0,6135
'0:1:31.05,6142
'0:1:31.1,6146
'0:1:31.15,6150
'0:1:31.2,6160
'0:1:31.25,6173
'0:1:31.3,6187
'0:1:31.35,6207
'0:1:31.4,6228
'0:1:31.45,6258
'0:1:31.5,6295
'0:1:31.55,6343
'0:1:31.6,6383
'0:1:31.65,6413
'0:1:31.7,6448
'0:1:31.75,6496
'0:1:31.8,6538
'0:1:31.85,6584
'0:1:31.9,6620
'0:1:31.95,6655
'0:1:32.0,6689
'0:1:32.05,6725
'0:1:32.1,6762
'0:1:32.15,6802
'0:1:32.2,6837
'0:1:32.25,6874
'0:1:32.3,6908
'0:1:32.35,6951
'0:1:32.4,6994
'0:1:32.45,7033
'0:1:32.5,7073
'0:1:32.55,7123
'0:1:32.6,7163
'0:1:32.65,7205
'0:1:32.7,7244
'0:1:32.75,7282
'0:1:32.8,7322
'0:1:32.85,7362
'0:1:32.9,7398
'0:1:32.95,7438
'0:1:33.0,7470
'0:1:33.05,7500
'0:1:33.1,7531
'0:1:33.15,7568
'0:1:33.2,7604
'0:1:33.25,7638
'0:1:33.3,7670
'0:1:33.35,7705
'0:1:33.4,7729
'0:1:33.45,7751
'0:1:33.5,7767
'0:1:33.55,7780
'0:1:33.6,7792
'0:1:33.65,7800
'0:1:33.7,7801
'0:1:33.75,7796
'0:1:33.8,7778
'0:1:33.85,7738
'0:1:33.9,7693
'0:1:33.95,7638
'0:1:34.0,7580
'0:1:34.05,7506
'0:1:34.1,7428
'0:1:34.15,7347
'0:1:34.2,7274
'0:1:34.25,7193
'0:1:34.3,7125
'0:1:34.35,7054
'0:1:34.4,6989
'0:1:34.45,6924
'0:1:34.5,6867
'0:1:34.55,6808
'0:1:34.6,6751
'0:1:34.65,6694
'0:1:34.7,6648
'0:1:34.75,6597
'0:1:34.8,6548
'0:1:34.85,6503
'0:1:34.9,6469
'0:1:34.95,6437
'0:1:35.0,6416
'0:1:35.05,6393
'0:1:35.1,6368
'0:1:35.15,6347
'0:1:35.2,6331
'0:1:35.25,6315
'0:1:35.3,6303
'0:1:35.35,6290
'0:1:35.4,6275
'0:1:35.45,6256
'0:1:35.5,6239
'0:1:35.55,6223
'0:1:35.6,6204
'0:1:35.65,6185
'0:1:35.7,6179
'0:1:35.75,6176
'0:1:35.8,6173
'0:1:35.85,6168
'0:1:35.9,6158
'0:1:35.95,6151
'0:1:36.0,6148
'0:1:36.05,6148
'0:1:36.1,6153
'0:1:36.15,6162
'0:1:36.2,6176
'0:1:36.25,6204
'0:1:36.3,6238
'0:1:36.35,6286
'0:1:36.4,6334
'0:1:36.45,6375
'0:1:36.5,6412
'0:1:36.55,6467
'0:1:36.6,6521
'0:1:36.65,6577
'0:1:36.7,6624
'0:1:36.75,6670
'0:1:36.8,6713
'0:1:36.85,6759
'0:1:36.9,6800
'0:1:36.95,6846
'0:1:37.0,6889
'0:1:37.05,6936
'0:1:37.1,6976
'0:1:37.15,7025
'0:1:37.2,7073
'0:1:37.25,7122
'0:1:37.3,7163
'0:1:37.35,7214
'0:1:37.4,7268
'0:1:37.45,7328
'0:1:37.5,7384
'0:1:37.55,7440
'0:1:37.6,7487
'0:1:37.65,7533
'0:1:37.7,7571
'0:1:37.75,7611
'0:1:37.8,7650
'0:1:37.85,7688
'0:1:37.9,7717
'0:1:37.95,7758
'0:1:38.0,7804
'0:1:38.05,7843
'0:1:38.1,7882
'0:1:38.15,7937
'0:1:38.2,7981
'0:1:38.25,8008
'0:1:38.3,8015
'0:1:38.35,8033
'0:1:38.4,8069
'0:1:38.45,8102
'0:1:38.5,8115
'0:1:38.55,8116
'0:1:38.6,8104
'0:1:38.65,8058
'0:1:38.7,7994
'0:1:38.75,7917
'0:1:38.8,7836
'0:1:38.85,7738
'0:1:38.9,7645
'0:1:38.95,7542
'0:1:39.0,7444
'0:1:39.05,7333
'0:1:39.1,7237
'0:1:39.15,7140
'0:1:39.2,7048
'0:1:39.25,6964
'0:1:39.3,6893
'0:1:39.35,6815
'0:1:39.4,6751
'0:1:39.45,6695
'0:1:39.5,6636
'0:1:39.55,6570
'0:1:39.6,6525
'0:1:39.65,6487
'0:1:39.7,6456
'0:1:39.75,6422
'0:1:39.8,6392
'0:1:39.85,6363
'0:1:39.9,6340
'0:1:39.95,6317
'0:1:40.0,6297
'0:1:40.05,6280
'0:1:40.1,6265
'0:1:40.15,6248
'0:1:40.2,6240
'0:1:40.25,6232
'0:1:40.3,6220
'0:1:40.35,6215
'0:1:40.4,6216
'0:1:40.45,6219
'0:1:40.5,6224
'0:1:40.55,6226
'0:1:40.6,6226
'0:1:40.65,6232
'0:1:40.7,6236
'0:1:40.75,6243
'0:1:40.8,6250
'0:1:40.85,6257
'0:1:40.9,6268
'0:1:40.95,6281
'0:1:41.0,6299
'0:1:41.05,6325
'0:1:41.1,6342
'0:1:41.15,6367
'0:1:41.2,6403
'0:1:41.25,6440
'0:1:41.3,6474
'0:1:41.35,6510
'0:1:41.4,6541
'0:1:41.45,6579
'0:1:41.5,6619
'0:1:41.55,6660
'0:1:41.6,6696
'0:1:41.65,6735
'0:1:41.7,6767
'0:1:41.75,6794
'0:1:41.8,6818
'0:1:41.85,6852
'0:1:41.9,6885
'0:1:41.95,6920
'0:1:42.0,6960
'0:1:42.05,7011
'0:1:42.1,7056
'0:1:42.15,7108
'0:1:42.2,7151
'0:1:42.25,7190
'0:1:42.3,7227
'0:1:42.35,7270
'0:1:42.4,7311
'0:1:42.45,7357
'0:1:42.5,7400
'0:1:42.55,7439
'0:1:42.6,7471
'0:1:42.65,7513
'0:1:42.7,7553
'0:1:42.75,7592
'0:1:42.8,7626
'0:1:42.85,7663
'0:1:42.9,7696
'0:1:42.95,7723
'0:1:43.0,7741
'0:1:43.05,7759
'0:1:43.1,7771
'0:1:43.15,7768
'0:1:43.2,7755
'0:1:43.25,7729
'0:1:43.3,7688
'0:1:43.35,7630
'0:1:43.4,7572
'0:1:43.45,7495
'0:1:43.5,7407
'0:1:43.55,7320
'0:1:43.6,7240
'0:1:43.65,7141
'0:1:43.7,7055
'0:1:43.75,6972
'0:1:43.8,6900
'0:1:43.85,6829
'0:1:43.9,6769
'0:1:43.95,6710
'0:1:44.0,6660
'0:1:44.05,6610
'0:1:44.1,6567
'0:1:44.15,6521
'0:1:44.2,6483
'0:1:44.25,6450
'0:1:44.3,6415
'0:1:44.35,6374
'0:1:44.4,6352
'0:1:44.45,6334
'0:1:44.5,6319
'0:1:44.55,6306
'0:1:44.6,6293
'0:1:44.65,6279
'0:1:44.7,6269
'0:1:44.75,6261
'0:1:44.8,6257
'0:1:44.85,6254
'0:1:44.9,6251
'0:1:44.95,6248
'0:1:45.0,6247
'0:1:45.05,6252
'0:1:45.1,6252
'0:1:45.15,6244
'0:1:45.2,6245
'0:1:45.25,6251
'0:1:45.3,6257
'0:1:45.35,6265
'0:1:45.4,6267
'0:1:45.45,6270
'0:1:45.5,6276
'0:1:45.55,6281
'0:1:45.6,6288
'0:1:45.65,6301
'0:1:45.7,6319
'0:1:45.75,6348
'0:1:45.8,6378
'0:1:45.85,6412
'0:1:45.9,6453
'0:1:45.95,6499
'0:1:46.0,6540
'0:1:46.05,6591
'0:1:46.1,6639
'0:1:46.15,6690
'0:1:46.2,6734
'0:1:46.25,6774
'0:1:46.3,6811
'0:1:46.35,6857
'0:1:46.4,6900
'0:1:46.45,6951
'0:1:46.5,7001
'0:1:46.55,7053
'0:1:46.6,7096
'0:1:46.65,7138
'0:1:46.7,7181
'0:1:46.75,7234
'0:1:46.8,7283
'0:1:46.85,7344
'0:1:46.9,7406
'0:1:46.95,7461
'0:1:47.0,7508
'0:1:47.05,7555
'0:1:47.1,7589
'0:1:47.15,7620
'0:1:47.2,7649
'0:1:47.25,7680
'0:1:47.3,7705
'0:1:47.35,7722
'0:1:47.4,7730
'0:1:47.45,7733
'0:1:47.5,7740
'0:1:47.55,7753
'0:1:47.6,7762
'0:1:47.65,7764
'0:1:47.7,7749
'0:1:47.75,7709
'0:1:47.8,7660
'0:1:47.85,7593
'0:1:47.9,7515
'0:1:47.95,7411
'0:1:48.0,7302
'0:1:48.05,7194
'0:1:48.1,7104
'0:1:48.15,7004
'0:1:48.2,6919
'0:1:48.25,6842
'0:1:48.3,6785
'0:1:48.35,6724
'0:1:48.4,6668
'0:1:48.45,6620
'0:1:48.5,6581
'0:1:48.55,6545
'0:1:48.6,6518
'0:1:48.65,6487
'0:1:48.7,6460
'0:1:48.75,6436
'0:1:48.8,6414
'0:1:48.85,6391
'0:1:48.9,6369
'0:1:48.95,6346
'0:1:49.0,6324
'0:1:49.05,6301
'0:1:49.1,6286
'0:1:49.15,6265
'0:1:49.2,6243
'0:1:49.25,6233
'0:1:49.3,6228
'0:1:49.35,6224
'0:1:49.4,6224
'0:1:49.45,6220
'0:1:49.5,6219
'0:1:49.55,6226
'0:1:49.6,6236
'0:1:49.65,6251
'0:1:49.7,6268
'0:1:49.75,6290
'0:1:49.8,6314
'0:1:49.85,6344
'0:1:49.9,6380
'0:1:49.95,6414
'0:1:50.0,6444
'0:1:50.05,6496
'0:1:50.1,6548
'0:1:50.15,6600
'0:1:50.2,6649
'0:1:50.25,6701
'0:1:50.3,6750
'0:1:50.35,6805
'0:1:50.4,6856
'0:1:50.45,6914
'0:1:50.5,6971
'0:1:50.55,7028
'0:1:50.6,7070
'0:1:50.65,7114
'0:1:50.7,7163
'0:1:50.75,7220
'0:1:50.8,7277
'0:1:50.85,7348
'0:1:50.9,7414
'0:1:50.95,7473
'0:1:51.0,7513
'0:1:51.05,7549
'0:1:51.1,7581
'0:1:51.15,7617
'0:1:51.2,7646
'0:1:51.25,7671
'0:1:51.3,7691
'0:1:51.35,7711
'0:1:51.4,7730
'0:1:51.45,7743
'0:1:51.5,7747
'0:1:51.55,7757
'0:1:51.6,7783
'0:1:51.65,7811
'0:1:51.7,7820
'0:1:51.75,7818
'0:1:51.8,7804
'0:1:51.85,7768
'0:1:51.9,7721
'0:1:51.95,7658
'0:1:52.0,7590
'0:1:52.05,7500
'0:1:52.1,7403
'0:1:52.15,7302
'0:1:52.2,7213
'0:1:52.25,7116
'0:1:52.3,7036
'0:1:52.35,6957
'0:1:52.4,6890
'0:1:52.45,6834
'0:1:52.5,6793
'0:1:52.55,6742
'0:1:52.6,6693
'0:1:52.65,6648
'0:1:52.7,6612
'0:1:52.75,6572
'0:1:52.8,6540
'0:1:52.85,6510
'0:1:52.9,6479
'0:1:52.95,6440
'0:1:53.0,6411
'0:1:53.05,6379
'0:1:53.1,6345
'0:1:53.15,6318
'0:1:53.2,6300
'0:1:53.25,6280
'0:1:53.3,6263
'0:1:53.35,6240
'0:1:53.4,6217
'0:1:53.45,6195
'0:1:53.5,6176
'0:1:53.55,6157
'0:1:53.6,6142
'0:1:53.65,6126
'0:1:53.7,6111
'0:1:53.75,6095
'0:1:53.8,6094
'0:1:53.85,6094
'0:1:53.9,6092
'0:1:53.95,6101
'0:1:54.0,6114
'0:1:54.05,6131
'0:1:54.1,6149
'0:1:54.15,6168
'0:1:54.2,6193
'0:1:54.25,6232
'0:1:54.3,6269
'0:1:54.35,6315
'0:1:54.4,6357
'0:1:54.45,6398
'0:1:54.5,6437
'0:1:54.55,6480
'0:1:54.6,6521
'0:1:54.65,6558
'0:1:54.7,6588
'0:1:54.75,6629
'0:1:54.8,6668
'0:1:54.85,6705
'0:1:54.9,6739
'0:1:54.95,6772
'0:1:55.0,6798
'0:1:55.05,6831
'0:1:55.1,6863
'0:1:55.15,6901
'0:1:55.2,6936
'0:1:55.25,6967
'0:1:55.3,6993
'0:1:55.35,7025
'0:1:55.4,7064
'0:1:55.45,7106
'0:1:55.5,7146
'0:1:55.55,7203
'0:1:55.6,7260
'0:1:55.65,7318
'0:1:55.7,7373
'0:1:55.75,7430
'0:1:55.8,7477
'0:1:55.85,7521
'0:1:55.9,7556
'0:1:55.95,7590
'0:1:56.0,7617
'0:1:56.05,7643
'0:1:56.1,7672
'0:1:56.15,7709
'0:1:56.2,7733
'0:1:56.25,7755
'0:1:56.3,7774
'0:1:56.35,7782
'0:1:56.4,7783
'0:1:56.45,7779
'0:1:56.5,7770
'0:1:56.55,7751
'0:1:56.6,7720
'0:1:56.65,7675
'0:1:56.7,7623
'0:1:56.75,7555
'0:1:56.8,7487
'0:1:56.85,7407
'0:1:56.9,7327
'0:1:56.95,7238
'0:1:57.0,7151
'0:1:57.05,7066
